Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",10,1,Parameter category,(see Code table 4.1),,4.1,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",11,1,Parameter number,(see Code table 4.2),,4.2,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",12-13,2,Aerosol type,(see Code table 4.233),,4.233,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",14,1,Type of interval for first and second sizes,(see Code table 4.91),,4.91,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",15,1,Scale factor of first size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",16-19,4,Scaled value of first size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",20,1,Scale factor of second size,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",21-24,4,Scaled value of second size in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",25,1,Type of interval for first and second wavelength,(see Code table 4.91),,4.91,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",26,1,Scale factor of first wavelength,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",27-30,4,Scaled value of first wavelength in metres,,,,,Operational
"Derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for optical properties of aerosol",31,1,Scale factor of second wavelength,,,,,Operational
